date,value,zscore,outlier_zscore,outlier_iqr,outlier_both,outlier_either
2010-01-31,95.76461819824816,-0.3530753563675506,False,False,False,False
2010-02-28,106.30201255728767,0.22562305966077323,False,False,False,False
2010-03-31,104.73794955177011,0.13972698772672348,False,False,False,False
2010-04-30,97.34203180183678,-0.2664460889495403,False,False,False,False
2010-05-31,102.7920193055282,0.03285932074643525,False,False,False,False
2010-06-30,113.96588910749622,0.6465120450329185,False,False,False,False
2010-07-31,95.72910215843423,-0.3550258457659366,False,False,False,False
2010-08-31,105.40590240867813,0.17640998990957965,False,False,False,False
2010-09-30,108.43813731592978,0.34293593342682194,False,False,False,False
2010-10-31,97.11417141857368,-0.27895985073704027,False,False,False,False
2010-11-30,109.39962395960225,0.3957393854726621,False,False,False,False
2010-12-31,107.1317321856742,0.2711900583261492,False,False,False,False
2011-01-31,111.87304707169372,0.5315761956331626,False,False,False,False
2011-02-28,104.67055340221691,0.13602568893653544,False,False,False,False
2011-03-31,113.46781558600728,0.61915856957871,False,False,False,False
2011-04-30,108.98753243539359,0.3731079166111334,False,False,False,False
2011-05-31,110.24442866971653,0.44213483494893663,False,False,False,False
2011-06-30,107.67411627718289,0.30097700602311783,False,False,False,False
2011-07-31,115.50407344608178,0.7309868981103705,False,False,False,False
2011-08-31,109.05326543938116,0.37671787785888344,False,False,False,False
2011-09-30,109.14997305989523,0.38202892012440803,False,False,False,False
2011-10-31,109.24668068040928,0.3873399623899318,False,False,False,False
2011-11-30,109.34338830092335,0.3926510046554564,False,False,False,False
2011-12-31,109.44009592143742,0.3979620469209809,False,False,False,False
2012-01-31,109.53680354195147,0.4032730891865047,False,False,False,False
2012-02-29,109.63351116246554,0.40858413145202926,False,False,False,False
2012-03-31,116.07668307279886,0.7624337883655008,False,False,False,False
2012-04-30,101.45216243217706,-0.04072367557065826,False,False,False,False
2012-05-31,115.43828014738094,0.7273736255644121,False,False,False,False
2012-06-30,107.17744805228904,0.2737007074198386,False,False,False,False
2012-07-31,111.69201896256257,0.5216343944210889,False,False,False,False
2012-08-31,106.20061145510603,0.2200542581889272,False,False,False,False
2012-09-30,99.45314141910404,-0.15050701046884435,False,False,False,False
2012-10-31,103.17057227518286,0.0536489008321463,False,False,False,False
2012-11-30,107.25253234170846,0.27782422770152543,False,False,False,False
2012-12-31,108.0352133406165,0.3208079330551164,False,False,False,False
2013-01-31,97.11440508548311,-0.27894701808925637,False,False,False,False
2013-02-28,102.7084796697119,0.02827144510325026,False,False,False,False
2013-03-31,109.32325543874487,0.3915453370628972,False,False,False,False
2013-04-30,104.86187149331903,0.14653260103510196,False,False,False,False
2013-05-31,100.60135020103111,-0.08744904938940615,False,False,False,False
2013-06-30,101.17459254204016,-0.05596741138297371,False,False,False,False
2013-07-31,94.3128067296032,-0.4328067366926935,False,False,False,False
2013-08-31,102.1413540238356,-0.0028742728774110936,False,False,False,False
2013-09-30,95.78591691739688,-0.3519056616010051,False,False,False,False
2013-10-31,94.95879941949607,-0.39732975503392215,False,False,False,False
2013-11-30,95.44729844866939,-0.37050209681199553,False,False,False,False
2013-12-31,92.49423839369751,-0.532679872267721,False,False,False,False
2014-01-31,95.55225826455282,-0.36473785594477764,False,False,False,False
2014-02-28,88.89799005467485,-0.7301806154805435,False,False,False,False
2014-03-31,83.75350124527814,-1.012708479944437,False,False,False,False
2014-04-30,90.57594417449143,-0.6380298087231733,False,False,False,False
2014-05-31,85.0343190614619,-0.9423678230238244,False,False,False,False
2014-06-30,90.87473321529552,-0.6216207479299211,False,False,False,False
2014-07-31,91.85339357444818,-0.5678741403366018,False,False,False,False
2014-08-31,89.55265350553812,-0.6942274482043078,False,False,False,False
2014-09-30,91.8610477240534,-0.5674537855409411,False,False,False,False
2014-10-31,88.04236469326112,-0.7771703194332121,False,False,False,False
2014-11-30,90.0647613274805,-0.6661032293228591,False,False,False,False
2014-12-31,89.7717132093139,-0.682197006970804,False,False,False,False
2015-01-31,200.0,5.3713806417165575,True,True,True,True
2015-02-28,95.68259972787918,-0.3575796918104846,False,False,False,False
2015-03-31,86.15696397161436,-0.880713792707481,False,False,False,False
2015-04-30,90.23804682892553,-0.6565866408959592,False,False,False,False
2015-05-31,100.71334732028873,-0.0812983300269366,False,False,False,False
2015-06-30,98.83736266073227,-0.18432468682713105,False,False,False,False
2015-07-31,89.78463240938838,-0.6814875032391684,False,False,False,False
2015-08-31,99.79630332271972,-0.13166105640304626,False,False,False,False
2015-09-30,96.27804950554075,-0.3248784535900923,False,False,False,False
2015-10-31,91.29035260584662,-0.598795533765259,False,False,False,False
2015-11-30,94.52371427917868,-0.42122399994496573,False,False,False,False
2015-12-31,93.79022343654071,-0.4615062532556941,False,False,False,False
2016-01-31,101.2512058071958,-0.05175992197129623,False,False,False,False
2016-02-29,102.76149248874482,0.031182832241117665,False,False,False,False
2016-03-31,100.63357153435547,-0.08567950049318107,False,False,False,False
2016-04-30,104.00837598445221,0.09965986549542775,False,False,False,False
2016-05-31,96.77411928926384,-0.29763502050800444,False,False,False,False
2016-06-30,105.34118907100152,0.17285602725682642,False,False,False,False
2016-07-31,100.81810765713989,-0.07554504425887083,False,False,False,False
2016-08-31,102.91935755878085,0.03985255293897478,False,False,False,False
2016-09-30,-50.0,-8.358256788334808,True,True,True,True
2016-10-31,97.39425522322014,-0.263578054385739,False,False,False,False
2016-11-30,105.38776825837613,0.17541408867458538,False,False,False,False
2016-12-31,107.04950002442337,0.26667398728989555,False,False,False,False
2017-01-31,103.37780824803401,0.06502999991098742,False,False,False,False
2017-02-28,109.841139892094,0.41998680016347334,False,False,False,False
2017-03-31,116.08903897325993,0.7631123564993102,False,False,False,False
2017-04-30,110.79706280170664,0.4724847000037185,False,False,False,False
